game_id,league,date,home,away,home_score,away_score,neutral,home_ml,away_ml,spread,home_spread_price,away_spread_price,total,over_price,under_price,extras
MLB-20240925-SEA-HOU-14,MLB,2024-09-25T18:10:00,HOU,SEA,1,8,0,,,,,,,,,"{""home_pitcher"": {""name"": ""Yusei Kikuchi"", ""era"": 4.05}, ""away_pitcher"": {""name"": ""George Kirby"", ""era"": 3.53}, ""indoor"": true}"
MLB-20240925-CHC-PHI-18,MLB,2024-09-25T22:05:00,PHI,CHC,9,6,0,,,,,,,,,"{""home_pitcher"": {""name"": ""Cristopher Sanchez"", ""era"": 3.32}, ""away_pitcher"": {""name"": ""Javier Assad"", ""era"": 3.73}}"
MLB-20240925-CIN-CLE-18,MLB,2024-09-25T22:40:00,CLE,CIN,5,2,0,,,,,,,,,"{""home_pitcher"": {""name"": ""Andrew Walters"", ""era"": 0.0}, ""away_pitcher"": {""name"": ""Jakob Junis"", ""era"": 2.69}}"
MLB-20240925-MIL-PIT-18,MLB,2024-09-25T22:40:00,PIT,MIL,2,1,0,,,,,,,,,"{""home_pitcher"": {""name"": ""Luis Ortiz"", ""era"": 3.32}, ""away_pitcher"": {""name"": ""Freddy Peralta"", ""era"": 3.68}}"
MLB-20240925-TB-DET-18,MLB,2024-09-25T22:40:00,DET,TB,7,1,0,,,,,,,,,"{""home_pitcher"": {""name"": ""Keider Montero"", ""era"": 4.76}, ""away_pitcher"": {""name"": ""Zack Littell"", ""era"": 3.63}}"
MLB-20240925-KC-WSH-18,MLB,2024-09-25T22:45:00,WSH,KC,0,3,0,,,,,,,,,"{""home_pitcher"": {""name"": ""DJ Herz"", ""era"": 4.16}, ""away_pitcher"": {""name"": ""Michael Lorenzen"", ""era"": 3.31}}"
MLB-20240925-BAL-NYY-19,MLB,2024-09-25T23:05:00,NYY,BAL,7,9,0,,,,,,,,,"{""home_pitcher"": {""name"": ""Marcus Stroman"", ""era"": 4.31}, ""away_pitcher"": {""name"": ""Zach Eflin"", ""era"": 3.59}}"
MLB-20240925-BOS-TOR-19,MLB,2024-09-25T23:07:00,TOR,BOS,6,1,0,,,,,,,,,"{""home_pitcher"": {""name"": ""Kevin Gausman"", ""era"": 3.83}, ""away_pitcher"": {""name"": ""Richard Fitts"", ""era"": 1.74}, ""indoor"": true}"
MLB-20240925-LAA-CHW-19,MLB,2024-09-25T23:40:00,CHW,LAA,4,3,0,,,,,,,,,"{""home_pitcher"": {""name"": ""Davis Martin"", ""era"": 4.32}, ""away_pitcher"": {""name"": ""Jose Suarez"", ""era"": 6.02}}"
MLB-20240925-MIA-MIN-19,MLB,2024-09-25T23:40:00,MIN,MIA,8,3,0,,,,,,,,,"{""home_pitcher"": {""name"": ""Simeon Woods Richardson"", ""era"": 4.17}, ""away_pitcher"": {""name"": ""Edward Cabrera"", ""era"": 4.95}}"
MLB-20240925-STL-COL-20,MLB,2024-09-26T00:40:00,COL,STL,2,5,0,,,,,,,,,"{""home_pitcher"": {""name"": ""Austin Gomber"", ""era"": 4.75}, ""away_pitcher"": {""name"": ""Erick Fedde"", ""era"": 3.3}}"
MLB-20240925-SF-ARI-21,MLB,2024-09-26T01:40:00,ARI,SF,8,2,0,,,,,,,,,"{""home_pitcher"": {""name"": ""Zac Gallen"", ""era"": 3.65}, ""away_pitcher"": {""name"": ""Mason Black"", ""era"": 6.44}, ""indoor"": true}"
MLB-20240925-TEX-ATH-21,MLB,2024-09-26T01:40:00,ATH,TEX,1,5,0,,,,,,,,,"{""home_pitcher"": {""name"": ""Brady Basso"", ""era"": 4.03}, ""away_pitcher"": {""name"": ""Cody Bradford"", ""era"": 3.54}}"
MLB-20240925-SD-LAD-22,MLB,2024-09-26T02:10:00,LAD,SD,4,3,0,,,,,,,,,"{""home_pitcher"": {""name"": ""Jack Flaherty"", ""era"": 3.17}, ""away_pitcher"": {""name"": ""Dylan Cease"", ""era"": 3.47}}"
MLB-20240926-MIL-PIT-12,MLB,2024-09-26T16:35:00,PIT,MIL,2,5,0,,,,,,,,,"{""home_pitcher"": {""name"": ""Mitch Keller"", ""era"": 4.25}, ""away_pitcher"": {""name"": ""Aaron Civale"", ""era"": 4.36}}"
MLB-20240926-KC-WSH-13,MLB,2024-09-26T17:05:00,WSH,KC,4,7,0,,,,,,,,,"{""home_pitcher"": {""name"": ""Patrick Corbin"", ""era"": 5.62}, ""away_pitcher"": {""name"": ""Michael Wacha"", ""era"": 3.35}}"
MLB-20240926-TB-DET-13,MLB,2024-09-26T17:10:00,DET,TB,4,3,0,,,,,,,,,"{""home_pitcher"": {""name"": ""Reese Olson"", ""era"": 3.53}, ""away_pitcher"": {""name"": ""Tyler Alexander"", ""era"": 5.1}}"
MLB-20240926-LAA-CHW-14,MLB,2024-09-26T18:10:00,CHW,LAA,7,0,0,,,,,,,,,"{""home_pitcher"": {""name"": ""Chris Flexen"", ""era"": 4.95}, ""away_pitcher"": {""name"": ""Tyler Anderson"", ""era"": 3.81}}"
MLB-20240926-STL-COL-15,MLB,2024-09-26T19:10:00,COL,STL,10,8,0,,,,,,,,,"{""home_pitcher"": {""name"": ""Kyle Freeland"", ""era"": 5.24}, ""away_pitcher"": {""name"": ""Kyle Gibson"", ""era"": 4.24}}"
MLB-20240926-TEX-ATH-15,MLB,2024-09-26T19:37:00,ATH,TEX,3,2,0,,,,,,,,,"{""home_pitcher"": {""name"": ""J.T. Ginn"", ""era"": 4.24}, ""away_pitcher"": {""name"": ""Kumar Rocker"", ""era"": 3.86}}"
