game_id,league,date,home,away,home_score,away_score,neutral,home_ml,away_ml,spread,home_spread_price,away_spread_price,total,over_price,under_price,extras
NFL-20240926-DAL-NYG-20,NFL,2024-09-27T00:15:00,NYG,DAL,15,20,0,,,,,,,,,
NFL-20240929-NO-ATL-13,NFL,2024-09-29T17:00:00,ATL,NO,26,24,0,,,,,,,,,"{""indoor"": true}"
NFL-20240929-LAR-CHI-13,NFL,2024-09-29T17:00:00,CHI,LAR,24,18,0,,,,,,,,,
NFL-20240929-MIN-GB-13,NFL,2024-09-29T17:00:00,GB,MIN,29,31,0,,,,,,,,,
NFL-20240929-PIT-IND-13,NFL,2024-09-29T17:00:00,IND,PIT,27,24,0,,,,,,,,,"{""indoor"": true}"
NFL-20240929-DEN-NYJ-13,NFL,2024-09-29T17:00:00,NYJ,DEN,9,10,0,,,,,,,,,
NFL-20240929-PHI-TB-13,NFL,2024-09-29T17:00:00,TB,PHI,33,16,0,,,,,,,,,
NFL-20240929-CIN-CAR-13,NFL,2024-09-29T17:00:00,CAR,CIN,24,34,0,,,,,,,,,
NFL-20240929-JAX-HOU-13,NFL,2024-09-29T17:00:00,HOU,JAX,24,20,0,,,,,,,,,"{""indoor"": true}"
NFL-20240929-WSH-ARI-16,NFL,2024-09-29T20:05:00,ARI,WSH,14,42,0,,,,,,,,,"{""indoor"": true}"
NFL-20240929-NE-SF-16,NFL,2024-09-29T20:05:00,SF,NE,30,13,0,,,,,,,,,
NFL-20240929-CLE-LV-16,NFL,2024-09-29T20:25:00,LV,CLE,20,16,0,,,,,,,,,"{""indoor"": true}"
NFL-20240929-KC-LAC-16,NFL,2024-09-29T20:25:00,LAC,KC,10,17,0,,,,,,,,,
NFL-20240929-BUF-BAL-20,NFL,2024-09-30T00:20:00,BAL,BUF,35,10,0,,,,,,,,,
NFL-20240930-TEN-MIA-19,NFL,2024-09-30T23:30:00,MIA,TEN,12,31,0,,,,,,,,,
NFL-20240930-SEA-DET-20,NFL,2024-10-01T00:15:00,DET,SEA,42,29,0,,,,,,,,,"{""indoor"": true}"
NFL-20241003-TB-ATL-20,NFL,2024-10-04T00:15:00,ATL,TB,36,30,0,,,,,,,,,"{""indoor"": true}"
NFL-20241006-NYJ-MIN-09,NFL,2024-10-06T13:30:00,MIN,NYJ,23,17,1,,,,,,,,,
NFL-20241006-CAR-CHI-13,NFL,2024-10-06T17:00:00,CHI,CAR,36,10,0,,,,,,,,,
NFL-20241006-BAL-CIN-13,NFL,2024-10-06T17:00:00,CIN,BAL,38,41,0,,,,,,,,,
NFL-20241006-MIA-NE-13,NFL,2024-10-06T17:00:00,NE,MIA,10,15,0,,,,,,,,,
NFL-20241006-CLE-WSH-13,NFL,2024-10-06T17:00:00,WSH,CLE,34,13,0,,,,,,,,,
NFL-20241006-IND-JAX-13,NFL,2024-10-06T17:00:00,JAX,IND,37,34,0,,,,,,,,,
