game_id,league,date,home,away,home_score,away_score,neutral,home_ml,away_ml,spread,home_spread_price,away_spread_price,total,over_price,under_price,extras
NHL-20241004-NJ-BUF-13,NHL,2024-10-04T17:00:00,BUF,NJ,1,4,1,,,,,,,,,"{""indoor"": true}"
NHL-20241005-BUF-NJ-10,NHL,2024-10-05T14:00:00,NJ,BUF,3,1,1,,,,,,,,,"{""indoor"": true}"
NHL-20241008-STL-SEA-16,NHL,2024-10-08T20:30:00,SEA,STL,2,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241008-BOS-FLA-19,NHL,2024-10-08T23:00:00,FLA,BOS,6,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241008-CHI-UTAH-22,NHL,2024-10-09T02:00:00,UTAH,CHI,5,2,0,,,,,,,,,"{""indoor"": true}"
NHL-20241009-TOR-MTL-19,NHL,2024-10-09T23:00:00,MTL,TOR,1,0,0,,,,,,,,,"{""indoor"": true}"
NHL-20241009-NYR-PIT-19,NHL,2024-10-09T23:30:00,PIT,NYR,0,6,0,,,,,,,,,"{""indoor"": true}"
NHL-20241009-WPG-EDM-22,NHL,2024-10-10T02:00:00,EDM,WPG,0,6,0,,,,,,,,,"{""indoor"": true}"
NHL-20241009-CGY-VAN-22,NHL,2024-10-10T02:00:00,VAN,CGY,5,6,0,,,,,,,,,"{""indoor"": true}"
NHL-20241009-COL-VGK-22,NHL,2024-10-10T02:00:00,VGK,COL,8,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241010-MTL-BOS-19,NHL,2024-10-10T23:00:00,BOS,MTL,6,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241010-LA-BUF-19,NHL,2024-10-10T23:00:00,BUF,LA,1,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241010-FLA-OTT-19,NHL,2024-10-10T23:00:00,OTT,FLA,3,1,0,,,,,,,,,"{""indoor"": true}"
NHL-20241010-TOR-NJ-19,NHL,2024-10-10T23:00:00,NJ,TOR,2,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241010-UTAH-NYI-19,NHL,2024-10-10T23:30:00,NYI,UTAH,4,5,0,,,,,,,,,"{""indoor"": true}"
NHL-20241010-PIT-DET-20,NHL,2024-10-11T00:00:00,DET,PIT,3,6,0,,,,,,,,,"{""indoor"": true}"
NHL-20241010-DAL-NSH-20,NHL,2024-10-11T00:00:00,NSH,DAL,3,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241010-CBJ-MIN-20,NHL,2024-10-11T00:00:00,MIN,CBJ,3,2,0,,,,,,,,,"{""indoor"": true}"
NHL-20241010-STL-SJ-22,NHL,2024-10-11T02:30:00,SJ,STL,4,5,0,,,,,,,,,"{""indoor"": true}"
NHL-20241011-TB-CAR-19,NHL,2024-10-11T23:00:00,CAR,TB,1,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241011-CHI-WPG-20,NHL,2024-10-12T00:00:00,WPG,CHI,2,1,0,,,,,,,,,"{""indoor"": true}"
NHL-20241011-PHI-VAN-22,NHL,2024-10-12T02:00:00,VAN,PHI,2,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241011-STL-VGK-22,NHL,2024-10-12T02:00:00,VGK,STL,4,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241012-LA-BOS-13,NHL,2024-10-12T17:00:00,BOS,LA,2,1,0,,,,,,,,,"{""indoor"": true}"
NHL-20241012-FLA-BUF-19,NHL,2024-10-12T23:00:00,BUF,FLA,5,2,0,,,,,,,,,"{""indoor"": true}"
NHL-20241012-PIT-TOR-19,NHL,2024-10-12T23:00:00,TOR,PIT,4,2,0,,,,,,,,,"{""indoor"": true}"
NHL-20241012-OTT-MTL-19,NHL,2024-10-12T23:00:00,MTL,OTT,4,1,0,,,,,,,,,"{""indoor"": true}"
NHL-20241012-NSH-DET-19,NHL,2024-10-12T23:00:00,DET,NSH,3,0,0,,,,,,,,,"{""indoor"": true}"
NHL-20241012-UTAH-NYR-19,NHL,2024-10-12T23:00:00,NYR,UTAH,5,6,0,,,,,,,,,"{""indoor"": true}"
NHL-20241012-NJ-WSH-19,NHL,2024-10-12T23:00:00,WSH,NJ,3,5,0,,,,,,,,,"{""indoor"": true}"
NHL-20241012-NYI-DAL-20,NHL,2024-10-13T00:00:00,DAL,NYI,3,0,0,,,,,,,,,"{""indoor"": true}"
NHL-20241012-SEA-MIN-20,NHL,2024-10-13T00:00:00,MIN,SEA,4,5,0,,,,,,,,,"{""indoor"": true}"
NHL-20241012-CBJ-COL-21,NHL,2024-10-13T01:00:00,COL,CBJ,4,6,0,,,,,,,,,"{""indoor"": true}"
NHL-20241012-PHI-CGY-22,NHL,2024-10-13T02:00:00,CGY,PHI,6,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241012-CHI-EDM-22,NHL,2024-10-13T02:00:00,EDM,CHI,2,5,0,,,,,,,,,"{""indoor"": true}"
NHL-20241012-ANA-SJ-22,NHL,2024-10-13T02:00:00,SJ,ANA,0,2,0,,,,,,,,,"{""indoor"": true}"
NHL-20241013-MIN-WPG-18,NHL,2024-10-13T22:00:00,WPG,MIN,2,1,0,,,,,,,,,"{""indoor"": true}"
NHL-20241013-SEA-DAL-20,NHL,2024-10-14T00:00:00,DAL,SEA,2,0,0,,,,,,,,,"{""indoor"": true}"
NHL-20241013-CGY-EDM-20,NHL,2024-10-14T00:00:00,EDM,CGY,1,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241013-ANA-VGK-22,NHL,2024-10-14T02:00:00,VGK,ANA,3,1,0,,,,,,,,,"{""indoor"": true}"
NHL-20241014-FLA-BOS-13,NHL,2024-10-14T17:00:00,BOS,FLA,3,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241014-LA-OTT-13,NHL,2024-10-14T17:00:00,OTT,LA,8,7,0,,,,,,,,,"{""indoor"": true}"
NHL-20241014-UTAH-NJ-13,NHL,2024-10-14T17:00:00,NJ,UTAH,3,0,0,,,,,,,,,"{""indoor"": true}"
NHL-20241014-DET-NYR-19,NHL,2024-10-14T23:00:00,NYR,DET,4,1,0,,,,,,,,,"{""indoor"": true}"
NHL-20241014-PIT-MTL-19,NHL,2024-10-14T23:30:00,MTL,PIT,3,6,0,,,,,,,,,"{""indoor"": true}"
NHL-20241014-NYI-COL-21,NHL,2024-10-15T01:00:00,COL,NYI,2,6,0,,,,,,,,,"{""indoor"": true}"
NHL-20241015-VAN-TB-19,NHL,2024-10-15T23:00:00,TB,VAN,4,1,0,,,,,,,,,"{""indoor"": true}"
NHL-20241015-VGK-WSH-19,NHL,2024-10-15T23:00:00,WSH,VGK,4,2,0,,,,,,,,,"{""indoor"": true}"
NHL-20241015-NJ-CAR-19,NHL,2024-10-15T23:00:00,CAR,NJ,4,2,0,,,,,,,,,"{""indoor"": true}"
NHL-20241015-FLA-CBJ-19,NHL,2024-10-15T23:00:00,CBJ,FLA,3,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241015-MIN-STL-19,NHL,2024-10-15T23:30:00,STL,MIN,1,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241015-SEA-NSH-20,NHL,2024-10-16T00:00:00,NSH,SEA,3,7,0,,,,,,,,,"{""indoor"": true}"
NHL-20241015-SJ-DAL-20,NHL,2024-10-16T00:00:00,DAL,SJ,3,2,0,,,,,,,,,"{""indoor"": true}"
NHL-20241015-CHI-CGY-21,NHL,2024-10-16T01:00:00,CGY,CHI,3,1,0,,,,,,,,,"{""indoor"": true}"
NHL-20241015-PHI-EDM-22,NHL,2024-10-16T02:00:00,EDM,PHI,4,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241016-BUF-PIT-19,NHL,2024-10-16T23:00:00,PIT,BUF,6,5,0,,,,,,,,,"{""indoor"": true}"
NHL-20241016-LA-TOR-19,NHL,2024-10-16T23:30:00,TOR,LA,6,2,0,,,,,,,,,"{""indoor"": true}"
NHL-20241016-BOS-COL-21,NHL,2024-10-17T01:30:00,COL,BOS,3,5,0,,,,,,,,,"{""indoor"": true}"
NHL-20241016-UTAH-ANA-22,NHL,2024-10-17T02:00:00,ANA,UTAH,5,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241017-LA-MTL-19,NHL,2024-10-17T23:00:00,MTL,LA,1,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241017-NJ-OTT-19,NHL,2024-10-17T23:00:00,OTT,NJ,1,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241017-VGK-TB-19,NHL,2024-10-17T23:00:00,TB,VGK,4,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241017-VAN-FLA-19,NHL,2024-10-17T23:00:00,FLA,VAN,2,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241017-DAL-WSH-19,NHL,2024-10-17T23:00:00,WSH,DAL,3,2,0,,,,,,,,,"{""indoor"": true}"
NHL-20241017-BUF-CBJ-19,NHL,2024-10-17T23:00:00,CBJ,BUF,6,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241017-NYR-DET-19,NHL,2024-10-17T23:30:00,DET,NYR,2,5,0,,,,,,,,,"{""indoor"": true}"
NHL-20241017-NYI-STL-20,NHL,2024-10-18T00:00:00,STL,NYI,1,0,0,,,,,,,,,"{""indoor"": true}"
NHL-20241017-EDM-NSH-20,NHL,2024-10-18T00:00:00,NSH,EDM,2,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241017-SJ-CHI-20,NHL,2024-10-18T00:30:00,CHI,SJ,4,2,0,,,,,,,,,"{""indoor"": true}"
NHL-20241017-PHI-SEA-22,NHL,2024-10-18T02:00:00,SEA,PHI,6,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241018-CAR-PIT-19,NHL,2024-10-18T23:00:00,PIT,CAR,1,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241018-SJ-WPG-20,NHL,2024-10-19T00:00:00,WPG,SJ,8,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241018-ANA-COL-21,NHL,2024-10-19T01:00:00,COL,ANA,4,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241019-TB-OTT-13,NHL,2024-10-19T17:00:00,OTT,TB,5,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241019-DET-NSH-14,NHL,2024-10-19T18:00:00,NSH,DET,2,5,0,,,,,,,,,"{""indoor"": true}"
NHL-20241019-EDM-DAL-16,NHL,2024-10-19T20:00:00,DAL,EDM,4,1,0,,,,,,,,,"{""indoor"": true}"
NHL-20241019-VGK-FLA-18,NHL,2024-10-19T22:00:00,FLA,VGK,4,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241019-NYR-TOR-19,NHL,2024-10-19T23:00:00,TOR,NYR,1,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241019-WSH-NJ-19,NHL,2024-10-19T23:00:00,NJ,WSH,5,6,0,,,,,,,,,"{""indoor"": true}"
NHL-20241019-MTL-NYI-19,NHL,2024-10-19T23:00:00,NYI,MTL,4,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241019-VAN-PHI-19,NHL,2024-10-19T23:00:00,PHI,VAN,0,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241019-MIN-CBJ-19,NHL,2024-10-19T23:00:00,CBJ,MIN,1,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241019-CAR-STL-19,NHL,2024-10-19T23:00:00,STL,CAR,4,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241019-BUF-CHI-20,NHL,2024-10-20T00:00:00,CHI,BUF,2,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241019-BOS-UTAH-21,NHL,2024-10-20T01:00:00,UTAH,BOS,2,1,0,,,,,,,,,"{""indoor"": true}"
NHL-20241019-CGY-SEA-22,NHL,2024-10-20T02:00:00,SEA,CGY,2,1,0,,,,,,,,,"{""indoor"": true}"
NHL-20241020-PIT-WPG-15,NHL,2024-10-20T19:00:00,WPG,PIT,6,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241020-COL-SJ-20,NHL,2024-10-21T00:00:00,SJ,COL,1,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241020-LA-ANA-20,NHL,2024-10-21T00:00:00,ANA,LA,1,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241021-TB-TOR-19,NHL,2024-10-21T23:30:00,TOR,TB,5,2,0,,,,,,,,,"{""indoor"": true}"
NHL-20241022-WSH-PHI-18,NHL,2024-10-22T22:00:00,PHI,WSH,1,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241022-MIN-FLA-18,NHL,2024-10-22T22:30:00,FLA,MIN,1,5,0,,,,,,,,,"{""indoor"": true}"
NHL-20241022-TB-NJ-18,NHL,2024-10-22T22:45:00,NJ,TB,5,8,0,,,,,,,,,"{""indoor"": true}"
NHL-20241022-DAL-BUF-19,NHL,2024-10-22T23:00:00,BUF,DAL,4,2,0,,,,,,,,,"{""indoor"": true}"
NHL-20241022-NYR-MTL-19,NHL,2024-10-22T23:15:00,MTL,NYR,2,7,0,,,,,,,,,"{""indoor"": true}"
NHL-20241022-TOR-CBJ-19,NHL,2024-10-22T23:30:00,CBJ,TOR,6,2,0,,,,,,,,,"{""indoor"": true}"
NHL-20241022-DET-NYI-19,NHL,2024-10-22T23:45:00,NYI,DET,0,1,0,,,,,,,,,"{""indoor"": true}"
NHL-20241022-WPG-STL-20,NHL,2024-10-23T00:00:00,STL,WPG,2,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241022-VAN-CHI-20,NHL,2024-10-23T00:15:00,CHI,VAN,3,6,0,,,,,,,,,"{""indoor"": true}"
NHL-20241022-COL-SEA-20,NHL,2024-10-23T00:30:00,SEA,COL,2,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241022-BOS-NSH-20,NHL,2024-10-23T00:45:00,NSH,BOS,4,0,0,,,,,,,,,"{""indoor"": true}"
NHL-20241022-CAR-EDM-21,NHL,2024-10-23T01:00:00,EDM,CAR,2,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241022-OTT-UTAH-21,NHL,2024-10-23T01:15:00,UTAH,OTT,0,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241022-PIT-CGY-21,NHL,2024-10-23T01:30:00,CGY,PIT,4,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241022-SJ-ANA-22,NHL,2024-10-23T02:15:00,ANA,SJ,3,1,0,,,,,,,,,"{""indoor"": true}"
NHL-20241022-LA-VGK-23,NHL,2024-10-23T03:00:00,VGK,LA,6,1,0,,,,,,,,,"{""indoor"": true}"
NHL-20241023-PHI-WSH-19,NHL,2024-10-23T23:30:00,WSH,PHI,6,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241024-DAL-BOS-19,NHL,2024-10-24T23:00:00,BOS,DAL,2,5,0,,,,,,,,,"{""indoor"": true}"
NHL-20241024-STL-TOR-19,NHL,2024-10-24T23:00:00,TOR,STL,1,5,0,,,,,,,,,"{""indoor"": true}"
NHL-20241024-NJ-DET-19,NHL,2024-10-24T23:00:00,DET,NJ,5,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241024-MIN-TB-19,NHL,2024-10-24T23:00:00,TB,MIN,2,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241024-FLA-NYR-19,NHL,2024-10-24T23:00:00,NYR,FLA,1,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241024-CAR-CGY-21,NHL,2024-10-25T01:00:00,CGY,CAR,2,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241024-COL-UTAH-21,NHL,2024-10-25T01:00:00,UTAH,COL,1,5,0,,,,,,,,,"{""indoor"": true}"
NHL-20241024-WPG-SEA-22,NHL,2024-10-25T02:00:00,SEA,WPG,3,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241024-SJ-LA-22,NHL,2024-10-25T02:30:00,LA,SJ,3,2,0,,,,,,,,,"{""indoor"": true}"
NHL-20241025-OTT-VGK-18,NHL,2024-10-25T22:00:00,VGK,OTT,6,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241025-NYI-NJ-19,NHL,2024-10-25T23:00:00,NJ,NYI,3,4,0,,,,,,,,,"{""indoor"": true}"
NHL-20241025-NSH-CHI-20,NHL,2024-10-26T00:30:00,CHI,NSH,2,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241025-PIT-EDM-21,NHL,2024-10-26T01:00:00,EDM,PIT,4,0,0,,,,,,,,,"{""indoor"": true}"
NHL-20241026-DET-BUF-13,NHL,2024-10-26T17:00:00,BUF,DET,5,3,0,,,,,,,,,"{""indoor"": true}"
NHL-20241026-MIN-PHI-13,NHL,2024-10-26T17:00:00,PHI,MIN,7,5,0,,,,,,,,,"{""indoor"": true}"
